Ensembl_ID	mean_alive	mean_dead	log2_fc	p_value	p_adj
ENSG00000204084.13	1.3650502134330456	1.3177556422972512	0.04729457113579438	0.06051472499190649	0.47857361601109166
ENSG00000204103.4	2.3143101437427345	2.338756290524016	-0.02444614678128154	0.3980046694718844	0.7798503880426926
ENSG00000204104.12	1.8321919284419133	1.8584797668031527	-0.02628783836123949	0.26383514594433705	0.7041660161905079
ENSG00000204116.11	1.317547554613732	1.2990624629843222	0.018485091629409922	0.3839712943532779	0.7707148969108203
ENSG00000204120.16	1.7357977107893254	1.7522238723285535	-0.016426161539228046	0.3876983722400654	0.7735412627106683
ENSG00000204130.14	1.340591087388081	1.3111933471489594	0.029397740239121672	0.13119783154840514	0.5922728639128736
ENSG00000204136.11	0.9638130841203751	0.9772634844392482	-0.013450400318873013	0.7282159397066664	0.9212587872523769
ENSG00000204138.13	2.325179855941137	2.3178005905959	0.00737926534523714	0.6746071892305936	0.9035764063438096
ENSG00000204140.10	0.824965833676641	0.8298293918826766	-0.0048635582060355675	0.9389986412355701	0.9877577152466389
ENSG00000204152.14	1.0899935351662937	1.0781557552665968	0.01183777989969692	0.5468331286988697	0.8495120626970551
ENSG00000204160.12	1.8486923990935724	1.8612427947002486	-0.012550395606676146	0.5400129974934844	0.846616939441779
ENSG00000204172.12	1.032067865956737	1.0601803880611653	-0.028112522104428272	0.4432112431824452	0.8041946769149075
ENSG00000204175.5	1.2633711766957172	1.275203634460804	-0.01183245776508679	0.8121306788887321	0.9512933522141542
ENSG00000204178.11	2.0385716991016425	2.0303866910187094	0.008185008082933098	0.5540242455915665	0.852441920892203
ENSG00000204209.13	2.396823906334189	2.3758198980913283	0.02100400824286064	0.10592164723881677	0.5505273409403356
ENSG00000204217.15	1.9938052343173527	2.007711781701712	-0.013906547384359147	0.4816506895993865	0.8193617546030829
ENSG00000204219.11	2.2200185654107925	2.2432115702866358	-0.023193004875843304	0.44338140427729444	0.8041946769149075
ENSG00000204220.12	2.301636377588204	2.2668109290084675	0.03482544857973657	0.060755499555533284	0.47857361601109166
ENSG00000204227.5	2.6145189882305293	2.598243684325645	0.016275303904884186	0.22784496610231875	0.6759146436451252
